Type	Word
county	종로구
county	중구
county	용산구
county	성동구
county	광진구
county	동대문구
county	중랑구
county	성북구
county	강북구
county	도봉구
county	노원구
county	은평구
county	서대문구
county	마포구
county	양천구
county	강서구
county	구로구
county	금천구
county	영등포구
county	동작구
county	관악구
county	서초구
county	강남구
county	송파구
county	강동구
county	중구
county	서구
county	동구
county	영도구
county	부산진구
county	동래구
county	남구
county	북구
county	강서구
county	해운대구
county	사하구
county	금정구
county	연제구
county	수영구
county	사상구
county	기장군
county	중구
county	동구
county	서구
county	남구
county	북구
county	수성구
county	달서구
county	달성군
county	중구
county	동구
county	남구
county	연수구
county	남동구
county	부평구
county	계양구
county	서구
county	강화군
county	옹진군
county	동구
county	서구
county	남구
county	북구
county	광산구
county	동구
county	중구
county	서구
county	유성구
county	대덕구
county	중구
county	남구
county	동구
county	북구
county	울주군
county	장안구
county	권선구
county	팔달구
county	영통구
county	수정구
county	중원구
county	분당구
county	만안구
county	동안구
county	상록구
county	단원구
county	처인구
county	기흥구
county	수지구
county	양평군
county	덕양구
county	일산동구
county	일산서구
county	연천군
county	가평군
county	홍천군
county	횡성군
county	영월군
county	평창군
county	정선군
county	철원군
county	화천군
county	양구군
county	인제군
county	고성군
county	양양군
county	상당구
county	서원구
county	흥덕구
county	청원구
county	보은군
county	옥천군
county	영동군
county	진천군
county	괴산군
county	음성군
county	단양군
county	증평군
county	동남구
county	서북구
county	금산군
county	부여군
county	서천군
county	청양군
county	홍성군
county	예산군
county	태안군
county	완산구
county	덕진구
county	완주군
county	진안군
county	무주군
county	장수군
county	임실군
county	순창군
county	고창군
county	부안군
county	담양군
county	곡성군
county	구례군
county	고흥군
county	보성군
county	화순군
county	장흥군
county	강진군
county	해남군
county	영암군
county	무안군
county	함평군
county	영광군
county	장성군
county	완도군
county	진도군
county	신안군
county	군위군
county	의성군
county	청송군
county	영양군
county	영덕군
county	청도군
county	고령군
county	성주군
county	칠곡군
county	예천군
county	봉화군
county	울진군
county	울릉군
county	의창구
county	성산구
county	마산합포구
county	마산회원구
county	진해구
county	의령군
county	함안군
county	창녕군
county	고성군
county	남해군
county	하동군
county	산청군
county	함양군
county	거창군
county	합천군
food	비스킷
food	웨이퍼
food	쿠키
food	크래커
food	한과류
food	스낵과자
food	사탕
food	캐러멜
food	양갱
food	젤리
food	식빵
food	케이크
food	카스텔라
food	도넛
food	피자
food	파이
food	핫도그
food	코코아매스
food	코코아버터
food	코코아분말
food	코코아가공품
food	초콜릿
food	스위트초콜릿
food	밀크초콜릿
food	패밀리밀크초콜릿
food	화이트초콜릿
food	준초콜릿
food	초콜릿가공품
food	마멀레이드
food	잼류
food	백설탕
food	갈색설탕
food	기타설탕
food	액상포도당
food	분말
food	결정포도당
food	액상과당
food	결정과당
food	기타과당
food	물엿
food	기타엿
food	덱스트린
food	프락토올리고당
food	이소말토올리고당
food	갈락토올리고당
food	말토올리고당
food	자일로올리고당
food	겐티오올리고당
food	기타올리고당
food	식육
food	알제품
food	식육가공품
food	알가공품
food	어묵
food	어육소시지
food	어육반제품
food	어육살
food	연육
food	어육가공품
food	두부
food	전두부
food	유바
food	가공두부
food	묵류
food	콩기름
food	옥수수기름
food	채종유
food	카놀라유
food	미강유
food	참기름
food	들기름
food	홍화유
food	잇꽃유
food	해바라기유
food	목화씨기름
food	땅콩기름
food	올리브유
food	팜유류
food	야자유
food	혼합식용유
food	가공유지
food	쇼트닝
food	마가린류
food	고추씨기름
food	향미유
food	식용유지
food	국수
food	냉면
food	당면
food	유탕면류
food	파스타류
food	면류
food	침출차
food	액상차
food	고형차
food	볶은커피
food	인스턴트커피
food	조제커피
food	액상커피
food	농축과.채즙
food	과.채주스
food	과.채음료
